date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:53	25/25	---M--	200	added ('OK')	text/plain	etag:%222e4a22cd-19-5a9eb617b39ac%22	http://bendarby.co.uk/robots.txt		(from )
12:13:53	6292/6292	---M--	200	added ('OK')	text/html	etag:%22b33d5d-1894-5aa0995a31c5d%22	http://bendarby.co.uk/	D:/work/1/bendarby.co.uk/index.html	(from )
12:13:54	54217/54217	---M--	200	added ('OK')	text/css	etag:%22b33d51-d3c9-5aa188866cd21%22	http://bendarby.co.uk/css/style.css	D:/work/1/bendarby.co.uk/css/style.css	(from http://bendarby.co.uk/)
12:13:55	10573/10573	---M--	200	added ('OK')	image/png	etag:%22b33bd7-294d-5a004708deca3%22	http://bendarby.co.uk/assets/favicons/apple-touch-icon.png	D:/work/1/bendarby.co.uk/assets/favicons/apple-touch-icon.png	(from http://bendarby.co.uk/)
12:13:56	1886/1886	---M--	200	added ('OK')	image/png	etag:%22b33bdd-75e-5a004708fe8a1%22	http://bendarby.co.uk/assets/favicons/favicon-32x32.png	D:/work/1/bendarby.co.uk/assets/favicons/favicon-32x32.png	(from http://bendarby.co.uk/)
12:13:56	949/949	---M--	200	added ('OK')	image/png	etag:%22b33bdc-3b5-5a004708f9d36%22	http://bendarby.co.uk/assets/favicons/favicon-16x16.png	D:/work/1/bendarby.co.uk/assets/favicons/favicon-16x16.png	(from http://bendarby.co.uk/)
12:13:57	227/227	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Aug%202020%2006:44:00%20GMT	http://bendarby.co.uk/assets/favicons/manifest.json	D:/work/1/bendarby.co.uk/assets/favicons/manifest.4.delayed	(from http://bendarby.co.uk/)
12:13:57	2242/2242	---M--	200	added ('OK')	image/svg+xml	etag:%22b33bea-8c2-5a0047091381b%22	http://bendarby.co.uk/assets/favicons/safari-pinned-tab.svg	D:/work/1/bendarby.co.uk/assets/favicons/safari-pinned-tab.svg	(from http://bendarby.co.uk/)
12:13:57	7867/7867	---M--	200	added ('OK')	application/javascript	etag:%22b33db4-1ebb-5a00470e5afcc%22	http://bendarby.co.uk/js/modernizr-custom.js	D:/work/1/bendarby.co.uk/js/modernizr-custom.js	(from http://bendarby.co.uk/)
12:13:58	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2013%20Aug%202020%2006:44:01%20GMT	http://bendarby.co.uk/about	D:/work/1/bendarby.co.uk/about.7.delayed	(from http://bendarby.co.uk/)
12:13:58	10220/10220	---M--	200	added ('OK')	text/html	etag:%22b33bbf-27ec-5aa0995a1dd62%22	http://bendarby.co.uk/about/	D:/work/1/bendarby.co.uk/about/index.html	(from http://bendarby.co.uk/)
12:13:58	903/903	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c19-387-5a00470954dee%22	http://bendarby.co.uk/assets/icons/source/arrow-down.svg	D:/work/1/bendarby.co.uk/assets/icons/source/arrow-down.svg	(from http://bendarby.co.uk/)
12:13:59	1478/1478	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c49-5c6-5a004709b61ab%22	http://bendarby.co.uk/assets/icons/source/email.svg	D:/work/1/bendarby.co.uk/assets/icons/source/email.svg	(from http://bendarby.co.uk/)
12:13:59	936/936	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c4f-3a8-5a004709e03ce%22	http://bendarby.co.uk/assets/icons/source/menu-close.svg	D:/work/1/bendarby.co.uk/assets/icons/source/menu-close.svg	(from http://bendarby.co.uk/)
12:13:59	3291/3291	---M--	200	added ('OK')	image/svg+xml	etag:%22b33c38-cdb-5a00470994cb4%22	http://bendarby.co.uk/assets/icons/source/dribbble.svg	D:/work/1/bendarby.co.uk/assets/icons/source/dribbble.svg	(from http://bendarby.co.uk/)
